nome,genero,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,quant_viagem,salario_bruto_par,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par ,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab ,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,F,86,0,6,37,0,14,02/07/1982,0,"33.763,00","289.071,20",7971.69,16907.30,54747.61,49861.80,57969.92,53352.84,20869.99,15804.77,9670.34,1855.18,59.76,0,110918.38,110319.03,110945.19,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,0,0,1112908.07
HILKEA CARLA DE SOUZA MEDEIROS LIMA,F,91,0,1,62,0,5,02/07/1976,0,"33.763,00","304.219,33",24586.19,44761.07,52267.87,31382.92,38231.83,32701.13,15878.04,19847.11,8928.74,35322.67,311.76,0,111271.39,111271.39,111271.39,111271.39,111271.39,110132.42,111538.26,111238.30,111538.26,111538.26,0,0,1112342.45
CAROLINE RODRIGUES DE TONI,F,91,0,1,45,1,11,01/09/1986,0,"33.763,00","107.603,50",1577.63,9002.78,14101.09,11285.98,24174.38,15473.46,14468.42,7103.83,3096.89,5223.46,2095.58,0,84266.39,86627.52,88148.33,92593.08,96367.63,96367.63,93146.11,92800.95,92800.95,87409.42,0,0,910528.01
CELINA LEAO HIZIM FERREIRA,F,71,2,19,18,1,23,02/03/1977,1,"33.763,00","101.582,40",1190.04,11101.64,13853.72,18215.77,17835.36,15949.33,14392.13,6642.14,2402.27,0,0,0,110531.62,110840.11,110489.74,109406.57,110401.05,109266.63,109432.72,110798.51,110798.51,110798.51,0,0,1102763.97
CARLA ZAMBELLI SALGADO DE OLIVEIRA,F,79,12,1,10,5,12,03/07/1980,1,"33.763,00","262.306,41",35310.53,29972.46,28196.83,21729.23,51011.16,22816.95,21987.75,14571.57,14918.40,20785.86,1005.67,0,111549.61,111299.27,110215.67,105302.52,108206.27,105657.79,108726.99,111400.84,111665.78,111665.78,0,0,1095690.52
CARMEN EMÍLIA BONFÁ ZANOTTO,F,92,0,0,62,0,15,06/10/1962,0,"33.763,00","231.024,12",15385.24,28801.18,31514.98,30373.86,35066.26,31040.14,26674.03,14544.84,11565.37,6058.22,0,0,101754.20,102247.05,101219.81,102930.96,102930.96,101603.76,86458.75,91918.18,92236.93,97802.61,0,0,981103.21
BEATRIZ KICIS TORRENTS DE SORDI,F,89,3,0,56,3,4,19/09/1961,1,"33.763,00","215.925,63",25190.49,25724.28,26105.29,27799.70,29874.33,15473.15,16116.39,14243.78,13146.49,21381.74,869.99,0,111271.47,111271.47,111271.47,111271.47,111271.47,111538.39,111538.39,111538.39,111538.39,111538.39,0,0,1114049.30
BRUNA DIAS FURLAN VICENTE,F,39,0,4,0,0,0,28/04/1983,0,"33.763,00","75.896,65",12812.15,15234.17,17325.26,17939.40,283.61,5769.80,6302.20,230.06,0,0,0,0,102008.81,103337.22,104665.63,85126.66,89553.78,105191.41,111416.96,104020.17,87826.95,93579.66,0,0,986727.25
ÁUREA CAROLINA DE FREITAS E SILVA,F,75,17,0,22,5,5,20/11/1983,0,"33.763,00","297.321,47",15048.10,17211.99,32300.99,50919.99,47628.80,36660.42,25545.07,22852.05,27143.68,22010.38,0,0,110482.87,110320.03,111502.08,111502.08,111502.08,111499.25,111417.08,111417.08,111417.08,105478.47,0,0,1106538.10
ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,F,12,0,6,0,0,0,17/07/1970,0,"33.763,00","95.740,47",10196.26,16452.30,17609.15,48732.76,2750.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00
ANGELA REGINA HEINZEN AMIN HELOU,F,88,4,0,61,1,0,20/12/1953,1,"33.763,00","331.056,32",32420.59,44149.40,54673.99,50177.80,45917.82,36925.47,34965.84,19369.26,7069.38,5386.77,0,0,108469.01,109010.60,110962.23,109111.95,109111.95,108914.61,107061.71,107061.71,107061.71,110877.26,0,0,1087642.74
BENEDITA SOUZA DA SILVA SAMPAIO,F,45,46,1,22,17,16,26/04/1942,0,"33.763,00","278.486,52",27548.63,36708.62,32332.80,38159.47,42904.22,28769.87,17965.43,15365.95,9555.15,28558.54,617.84,0,111495.90,111448.24,111228.98,111228.98,111228.98,111354.55,111647.54,111647.54,111647.54,111647.54,0,0,1114575.79
ALINE SLEUTJES,F,81,11,0,25,7,5,26/07/1979,0,"33.763,00","260.137,48",17590.89,37246.93,44589.79,28504.61,62024.69,25909.67,20829.47,10742.51,4466.72,8102.19,130.01,0,108562.89,107823.39,108054.31,102862.93,104407.00,105903.30,107141.12,104241.48,105514.93,93070.21,0,0,1047581.56
ALINE PARANHOS VARONIL GURGEL,F,78,11,3,16,7,27,25/11/1980,0,"33.763,00","424.332,48",42916.79,55902.66,41953.93,40253.23,74755.05,10460.16,40552.36,44238.07,50000.23,23300.00,0,0,111429.18,111160.99,111429.20,111429.20,111429.20,111429.20,111429.20,111429.20,109688.29,108621.49,0,0,1109475.15
ALESSANDRA SILVA RIBEIRO,F,82,6,4,54,10,10,04/07/1974,0,"33.763,00","256.412,00",21847.22,26068.76,54557.47,38257.92,39369.73,21249.25,15093.79,19228.94,15225.62,5513.30,0,0,73391.76,71163.83,70424.23,71271.43,75507.41,78795.10,74373.30,79377.41,79377.41,83691.96,0,0,757373.84
ALICE MAZZUCO PORTUGAL,F,91,0,1,70,0,28,16/05/1959,0,"33.763,00","379.369,73",64843.86,35974.10,45630.28,30967.04,44643.22,33926.95,26133.78,37427.88,27482.05,32292.34,48.23,0,109364.13,110762.68,110837.35,110137.04,110137.04,110137.04,110137.04,110131.96,111046.92,111046.92,0,0,1103738.12
WALTER PEREIRA ALVES,M,77,8,7,9,4,8,27/02/1980,0,"33.763,00","317.645,88",16275.45,52068.25,43693.12,58063.77,58625.31,36037.87,19606.30,21869.88,3382.11,7812.68,211.14,0,109243.61,110758.36,111338.08,111338.08,111338.08,111338.08,111338.08,111338.08,111338.08,111338.08,0,0,1110706.61
ADRIANA MIGUEL VENTURA,F,92,0,0,75,0,0,06/03/1969,0,"33.763,00","31.565,42",91.69,11201.41,6.17,12078.93,2012.14,3326.52,2525.67,16.36,0.51,338.74,0,0,46239.34,47876.22,45155.54,47484.47,50501.69,47810.20,53606.39,43951.57,36862.01,38831.64,0,0,458319.07
WELITON FERNANDES PRADO,M,90,2,0,96,8,23,24/08/1975,0,"33.763,00","215.735,14",45629.83,47215.79,38327.43,43865.45,23458.59,9586.59,1947.66,5313.92,389.88,0,0,0,103167.75,108917.52,111253.88,110595.57,111288.73,111345.91,110034.83,111544.46,111082.65,111571.47,0,0,1100802.77
JOSÉ WELLINGTON ROBERTO,M,64,27,1,0,10,16,19/05/1959,0,"33.763,00","360.271,30",25689.37,50571.50,45460.46,46200.51,47674.96,32937.83,37926.77,12640.71,33901.72,27267.47,0,0,111507.89,111507.89,110523.07,107146.56,110382.39,111153.65,111507.89,111507.89,111507.89,111507.89,0,0,1108253.01
VITOR LIPPI,M,89,0,3,31,0,12,18/05/1959,0,"33.763,00","318.109,70",24259.78,32569.74,36922.21,49406.16,47864.03,26402.16,27593.94,26251.12,26683.06,19959.50,198.00,0,101487.37,101487.37,102816.16,107061.86,107511.90,107668.44,100367.15,100425.85,100425.85,100425.85,0,0,1029677.80
VINICIUS LAZZER POIT,M,86,5,1,25,4,4,31/01/1986,0,"33.763,00","170.973,90",18431.82,19119.82,20091.36,22529.20,18953.40,13634.91,18453.31,20492.33,19267.75,0,0,0,68524.60,67693.70,68191.96,63479.21,70848.78,70848.78,70848.78,56804.65,51380.32,64864.36,0,0,653485.14
WALDENOR ALVES PEREIRA FILHO,M,84,8,0,32,2,18,08/03/1954,0,"33.763,00","274.521,99",29031.76,42754.83,49047.12,41518.06,42594.78,26126.51,17743.64,6816.73,7094.89,11213.89,579.78,0,111659.64,111659.64,111659.64,110105.78,110466.03,110331.21,110331.21,110331.21,110331.21,110331.21,0,0,1107206.78
VINICIUS MEDEIROS FARAH,M,47,3,18,12,5,29,21/06/1965,0,"33.763,00","199.881,08",8158.18,63507.53,16857.35,26990.19,4635.32,3.53,79047.89,681.09,0,0,0,0,0.00,0.00,0.00,55157.49,80703.13,106463.12,111562.45,109355.91,111374.46,111293.45,0,0,685910.01
VILSON LUIZ DA SILVA,M,88,3,1,59,2,2,01/05/1957,0,"33.763,00","244.199,02",13864.38,12202.47,12981.84,35640.68,38383.43,48646.12,35184.80,19061.99,16192.22,11829.03,212.06,0,100801.90,100801.90,99965.01,103710.64,110925.72,105055.83,105194.90,109355.65,108535.78,94458.74,0,0,1038806.07
VICENTE ALVES DE OLIVEIRA JUNIOR,M,69,0,23,15,0,23,11/04/1985,0,"33.763,00","407.540,10",37276.44,39572.89,42368.97,39808.60,30327.75,41871.00,42317.27,33618.36,50378.82,50000.00,0,0,111477.70,110881.51,111497.27,111034.88,111354.02,111014.26,108081.62,98361.27,100031.52,96342.33,0,0,1070076.38
VINICIUS RAPOZO DE CARVALHO,M,79,13,0,9,5,10,07/01/1966,1,"33.763,00","334.073,79",41672.56,39581.43,57042.94,42691.74,36753.20,39290.07,35365.86,18744.31,15161.03,7367.26,403.39,0,103616.36,103616.36,103616.36,103616.36,104709.37,105399.70,107051.56,110786.16,110786.16,110153.37,0,0,1063351.76
VICENTE PAULO DA SILVA,M,83,7,2,19,2,14,08/04/1956,0,"33.763,00","294.730,15",13501.99,33730.27,71585.86,35951.02,45465.67,34562.44,36569.02,17307.06,5656.42,400.40,0,0,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,0,0,1115080.20
NELSI COGUETTO MARIA,M,85,3,4,16,0,3,01/03/1959,0,"33.763,00","355.234,84",40396.46,36014.91,46849.79,40603.35,52721.83,37782.35,27881.30,18738.35,27472.39,25059.43,1714.68,0,110519.15,108830.28,109428.11,104631.08,109592.25,110331.11,110331.11,110588.22,111659.52,111659.52,0,0,1097570.35
WAGNER BACH MARTINS,M,82,2,8,16,6,10,03/06/1982,0,"33.763,00","237.492,49",13175.53,18160.99,85161.64,31772.02,23536.01,37453.18,15004.74,9785.52,2972.47,470.39,0,0,111032.85,108426.50,110051.36,111574.66,111574.66,111324.34,111574.66,111574.66,111574.66,111574.66,0,0,1110283.01
VANDER LUIZ DOS SANTOS LOUBET,M,87,3,2,13,1,9,22/01/1964,0,"33.763,00","316.540,60",49425.10,33639.23,37451.17,39976.96,41545.38,38451.69,27215.78,9051.50,4247.41,34985.54,550.84,0,107579.85,107298.47,107298.47,110642.16,111659.80,111659.80,111659.80,111659.80,111659.80,111659.80,0,0,1102777.75
VANDERLEI MACRIS,M,83,4,5,24,5,10,20/05/1950,0,"33.763,00","387.000,21",58359.31,41010.69,35983.56,33429.65,34362.74,43973.37,39405.44,37712.64,27149.77,35230.92,382.12,0,109269.77,108453.91,111586.33,111659.71,111659.71,111659.71,107850.57,109854.64,109269.77,108848.68,0,0,1100112.80
VALMIR CARLOS DA ASSUNÇÃO,M,83,7,2,13,2,9,17/12/1964,0,"33.763,00","360.983,20",44395.14,45660.00,44131.60,48258.75,36050.94,38814.68,34071.61,34806.12,17856.95,16825.48,111.93,0,111617.19,111617.19,111476.50,111617.19,111617.19,110585.18,104425.66,106305.67,111392.75,111392.75,0,0,1102047.27
FRANCISCO VAIDON OLIVEIRA,M,54,4,3,3,2,8,02/04/1975,0,"33.763,00","211.676,39",23778.48,42615.45,43405.02,40762.03,60084.33,222.00,309.08,200.00,300.00,0,0,0,111635.46,110860.77,111028.88,109585.62,105419.03,105124.91,111562.77,111562.77,111562.77,106932.00,0,0,1095274.98
TÚLIO GADÊLHA SALES DE MELO,M,84,8,0,53,16,61,12/11/1987,0,"33.763,00","378.962,88",22201.56,33060.63,55862.54,51086.03,59826.44,34741.72,31903.99,31005.22,24904.26,33878.06,492.43,0,111435.40,110985.67,111288.65,110232.48,111665.84,110955.10,108096.17,108686.96,111593.09,109795.26,0,0,1104734.62
ULDURICO ALENCAR PINTO,M,77,9,6,5,5,13,30/01/1992,0,"33.763,00","391.674,99",5676.51,39129.50,29853.85,79759.43,19410.55,25244.16,35620.95,73478.81,37352.03,82.46,46066.74,0,109183.02,109663.55,110707.30,109378.89,108692.27,109378.89,109378.89,109378.89,110140.36,110270.55,0,0,1096172.61
CARLOS TITO MARQUES CORDEIRO,M,92,0,0,27,0,7,17/11/1976,0,"33.763,00","277.582,97",30501.30,31777.19,27564.37,31159.96,81946.39,12029.60,20240.56,18796.03,10779.49,12788.08,0,0,111587.05,111587.05,111587.05,111564.01,111498.03,111550.67,111550.67,111550.67,111550.67,111550.68,0,0,1115576.55
FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,M,69,21,2,4,8,8,01/05/1965,0,"33.763,00","191.016,33",10744.18,20999.68,20819.91,22736.94,28371.73,25748.36,27555.21,15056.32,13606.42,5377.58,0,0,111143.93,111143.93,111048.44,111598.88,111598.88,111598.88,111598.88,105364.04,104696.02,104696.02,0,0,1094487.90
ANTONIO WANDSCHEER,M,81,4,7,3,0,2,31/08/1950,0,"33.763,00","305.031,20",41777.79,39307.55,48754.02,48076.79,33128.88,24222.67,17864.61,13310.97,6776.98,31802.06,8.88,0,111665.71,111665.71,111665.71,111665.71,106352.43,103305.77,105808.24,109253.63,109427.39,109427.39,0,0,1090237.69
LUIZ GONZAGA RIBEIRO,M,86,3,3,95,2,15,31/05/1962,0,"33.763,00","321.138,71",22268.14,23219.41,37183.66,43427.86,54538.56,30205.10,35399.21,27745.12,24901.42,21907.68,342.55,0,111544.49,111544.49,111535.88,111461.97,110137.20,109363.20,110137.20,110137.20,110137.20,111164.48,0,0,1107163.31
SILAS CÂMARA,M,68,16,8,14,16,19,15/12/1962,0,"33.763,00","368.160,41",53511.75,30068.31,89746.79,49917.31,26361.91,26004.72,3334.78,49845.67,36031.91,3337.26,0,0,110677.96,110638.64,109858.49,104374.60,104374.60,105000.60,106461.25,107232.58,107789.66,107692.99,0,0,1074101.37
SIDNEY RICARDO DE OLIVEIRA LEITE,M,,,,,,,08/04/1967,0,"33.763,00","269.893,45",8648.68,35886.24,88152.88,30161.65,54238.48,27619.45,17293.50,2933.41,2.45,4750.00,206.71,0,111580.83,110906.22,107595.38,111325.25,111241.15,111562.02,111659.67,111659.67,111591.32,107626.27,0,0,1106747.78
SEVERINO DE LIRA PESSÔA,M,79,6,7,13,2,16,06/02/1970,0,"33.763,00","347.869,75",56448.73,40975.67,38983.26,51480.91,46528.02,20039.00,12962.54,10449.32,2.30,70000.00,0,0,107456.07,107456.07,110847.44,108039.99,109624.62,110681.41,110195.41,109900.71,111249.56,101856.79,0,0,1087308.07
FRANCISCO TADEU BARBOSA DE ALENCAR,M,82,9,1,43,15,39,08/04/1963,0,"33.763,00","369.922,73",32161.87,34787.81,47035.48,52313.50,53943.06,36506.38,38165.37,27985.97,34985.40,11319.38,718.51,0,82100.84,82100.84,82100.84,82100.84,83823.55,94672.90,99931.87,102657.96,102657.96,101108.43,0,0,913256.03
Tiago Dimas Braga Pereira,M,89,0,3,9,0,1,04/08/1988,0,"33.763,00","339.544,34",25207.06,42885.58,64235.29,54312.34,20107.35,27029.27,25908.66,11604.28,48026.14,14528.62,5699.75,0,111006.97,109190.74,109190.74,109190.74,108805.07,110517.32,111287.52,109789.26,103714.49,110484.48,0,0,1093177.33
SERGIO TOLEDO DE ALBUQUERQUE,M,47,44,1,1,20,1,29/01/1962,0,"33.763,00","285.443,15",30247.71,39363.12,39439.74,40960.33,29762.44,19142.21,17310.55,25965.33,22299.28,20952.44,0,0,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,111598.89,0,0,1115988.90
SILVIO SERAFIM COSTA FILHO,M,80,6,6,31,2,6,05/03/1982,0,"33.763,00","393.355,25",30879.38,33467.56,50370.63,44280.75,48544.47,36480.91,35984.13,48988.28,27163.19,37195.95,0,0,111550.59,111550.59,111327.92,111550.59,110788.05,111550.59,111550.59,111550.59,111550.59,111550.59,0,0,1114520.69
SERGIO DE SOUZA,M,84,4,4,20,0,0,13/03/1971,1,"33.763,00","356.816,76",44666.86,38116.97,56387.62,38979.42,53792.86,36334.73,28323.07,27848.37,7279.42,25087.44,0,0,103465.18,111598.82,111598.82,108459.16,95170.25,107026.01,111202.02,111526.06,111526.06,111526.06,0,0,1083098.44
STEFANO AGUIAR DOS SANTOS,M,75,10,7,7,7,9,03/03/1976,0,"33.763,00","285.738,03",32277.66,34395.67,41449.67,37761.02,36140.38,32186.87,29189.44,19927.58,17465.41,4443.71,500.62,0,111507.96,111507.96,111507.96,111507.96,111507.96,109724.62,109724.62,109724.62,109724.62,108781.88,0,0,1105220.16
SÉRGIO LUÍS LACERDA BRITO,M,69,10,13,6,4,20,08/06/1961,0,"33.763,00","346.032,56",45663.60,42654.52,52570.85,42077.69,38621.82,34830.22,44740.63,15255.91,11831.58,16539.03,1246.71,0,111512.47,111637.96,111607.20,111538.25,111538.25,111179.96,111280.54,111378.74,111647.19,110850.06,0,0,1114170.62
TIAGO LIMA MITRAUD DE CASTRO LEITE,M,92,0,0,107,0,7,15/08/1986,0,"33.763,00","27.647,47",3566.57,3135.34,2309.40,2560.68,8067.83,4398.55,2855.86,216.89,191.77,344.58,0,0,34798.86,31959.96,43996.79,52593.10,55384.47,56148.88,53361.59,43944.69,14691.41,21331.71,0,0,408211.46
SOSTENES SILVA CAVALCANTE,M,90,1,1,22,3,50,16/01/1975,0,"33.763,00","282.852,51",32645.07,36686.76,37385.24,34187.85,42574.72,33422.21,27180.57,16640.69,10097.79,11563.72,467.89,0,111471.63,111471.65,110392.32,109919.18,110901.44,110898.63,111435.26,111435.26,111435.26,111435.26,0,0,1110795.89
JOSE VITOR DE RESENDE AGUIAR,M,73,16,3,26,12,15,01/11/1984,2,"33.763,00","230.560,33",26074.83,41836.76,29417.95,31715.89,26392.47,27638.60,9780.96,4941.65,5612.06,27149.16,0,0,111586.81,108697.96,111507.97,111507.97,111165.15,111507.97,111507.97,111507.97,111507.97,111507.97,0,0,1112005.71
GILSON CARDOSO FAHUR,M,92,0,0,27,0,2,06/11/1963,0,"33.763,00","234.354,10",26338.65,13404.82,31325.22,52086.32,24388.06,22309.23,29172.80,14543.32,12015.50,7356.54,1413.64,0,66705.81,69549.81,73341.81,73341.81,73341.81,73341.81,73341.81,67133.94,66705.81,66705.81,0,0,703510.23
JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,M,75,10,7,9,4,22,21/06/1978,0,"33.763,00","355.256,89",38322.57,33224.73,52793.19,47568.26,57184.71,29897.60,36352.08,15418.42,9617.40,34877.93,0,0,111077.16,111077.16,107757.43,108634.49,107404.64,103768.48,108159.53,108272.04,111647.36,111647.36,0,0,1089445.65
JOSÉ CERQUEIRA DE SANTANA NETO,M,83,6,3,54,0,7,30/03/1964,0,"33.763,00","327.359,38",50626.31,24451.08,44445.51,53822.92,32644.89,40002.57,24693.20,26270.76,8182.14,22220.00,0,0,107824.82,108164.81,106195.45,109255.70,107442.69,107878.99,106497.60,106497.60,106497.60,106325.02,0,0,1072580.28
JOSÉ SILVA SOARES,M,81,4,7,46,6,42,11/05/1963,1,"33.763,00","272.945,30",13589.72,23281.74,58030.74,45654.35,51011.56,24752.96,20633.31,16662.24,7130.92,12197.76,0,0,108014.11,108014.11,107883.21,103238.92,108831.65,109953.60,109039.66,111653.63,111653.63,110576.65,0,0,1088859.17
SANDRO ALEX CRUZ DE OLIVEIRA,M,65,0,3,35,0,13,25/11/1972,0,"33.763,00","180.454,37",31017.32,47899.43,24298.17,37183.26,10998.80,4916.86,23515.41,625.12,0,0,0,0,0.00,0.00,0.00,69926.13,87036.26,87826.98,94352.24,97459.50,97459.50,103881.44,0,0,637942.05
JOSÉ CARLOS NUNES JÚNIOR,M,77,15,0,1,0,0,26/05/1955,1,"33.763,00","358.108,53",34876.44,34076.57,52451.67,56019.27,49235.77,38194.51,39063.35,26889.26,22924.56,3359.81,1017.32,0,111046.99,111046.99,111103.15,106832.08,111043.48,110100.74,111389.82,109743.83,107342.40,110590.73,0,0,1100240.21
JOSÉ WILSON SANTIAGO,M,83,4,5,4,1,31,10/06/1957,0,"33.763,00","317.146,93",30349.27,31771.02,37471.51,42306.88,41459.58,17270.03,59218.14,39103.16,6056.23,11543.92,597.19,0,111538.45,111556.03,110472.05,111429.07,111316.59,111277.46,111311.90,111544.34,111544.34,111544.34,0,0,1113534.57
SAMUEL MOREIRA DA SILVA JUNIOR,M,88,3,1,45,2,3,09/02/1963,0,"33.763,00","285.184,26",18924.07,25557.73,40933.34,50610.63,38706.58,35099.02,21805.45,22925.53,7648.25,22973.66,0,0,110903.38,104766.87,107428.02,108475.26,109925.19,106920.40,110435.32,105277.21,100395.58,106769.35,0,0,1071296.58
RUBENS PEREIRA E SILVA JUNIOR,M,92,0,0,35,0,16,18/03/1984,0,"33.763,00","356.112,25",33232.76,43788.65,49953.73,46779.13,45113.71,44355.44,12257.09,27387.79,27391.12,25830.93,21.90,0,111380.59,110819.94,111380.59,111365.22,111194.31,111380.59,111099.21,111380.59,111393.12,111568.58,0,0,1112962.74
WOLNEY QUEIROZ MACIEL,M,82,10,0,2,5,33,12/12/1972,0,"33.763,00","270.763,67",15044.01,23566.54,35336.53,30994.45,66224.67,21880.28,15898.60,18340.68,27414.61,15928.08,135.22,0,111532.20,111532.20,111532.20,111532.20,111532.20,111532.20,111532.20,111532.20,111532.20,111532.20,0,0,1115322.00
SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,M,61,31,0,2,10,9,31/08/1968,0,"33.763,00","368.210,84",32611.71,61997.85,45761.75,50783.90,40852.42,33153.10,37014.05,32841.73,22279.93,10154.47,759.93,0,111550.40,111550.40,111151.62,108271.62,111550.40,111283.71,107107.52,111550.44,111475.23,110070.98,0,0,1105562.32
UBIRATAN ANTUNES SANDERSON,M,89,1,2,61,0,17,01/12/1969,0,"33.763,00","366.762,57",37912.59,40802.71,53845.45,35943.44,48706.99,42505.85,39027.03,29437.05,28130.75,9907.64,543.07,0,107480.38,107480.38,109483.26,111119.86,111119.86,110913.82,107219.92,111653.64,111653.64,111653.64,0,0,1099778.40
RUI GOETHE DA COSTA FALCÃO,M,87,0,5,46,0,9,26/11/1943,0,"33.763,00","303.728,09",34561.93,52337.32,42161.06,44047.45,41707.80,30798.56,25457.29,16247.47,11501.64,4594.84,312.73,0,111162.30,111162.30,111162.30,111162.30,110682.51,111162.30,111162.30,111162.30,111162.30,111162.30,0,0,1111143.21
RUBENS BUENO,M,91,0,1,65,0,6,23/05/1948,0,"33.763,00","264.622,72",8067.94,32116.20,31184.36,37095.34,57749.32,33151.06,34635.51,8556.44,14471.08,7256.76,338.71,0,111253.23,111253.23,106987.97,108825.69,110646.65,110646.65,110646.65,109798.80,106891.90,108742.17,0,0,1095692.94
RONALDO CARLETTO,M,88,4,0,5,3,16,05/01/1960,0,"33.763,00","270.539,92",39853.86,35749.72,49246.61,35321.41,45779.44,16673.29,17006.88,22518.74,7609.31,160.66,620.00,0,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,111586.93,108778.61,0,0,1113060.98
RONALDO MANCHADO MARTINS,M,11,0,4,0,0,0,21/01/1978,0,"33.763,00","79.088,04",33317.39,30426.34,15344.31,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00
RUBENS OTONI GOMIDE,M,75,5,12,11,2,19,06/02/1956,0,"33.763,00","300.711,49",32770.27,38194.47,41561.05,46402.99,41744.76,29613.60,32364.01,12903.41,6401.63,18755.30,0,0,111544.41,111544.41,111544.41,111544.41,111501.56,111004.56,111429.17,111429.17,111429.17,110577.02,0,0,1113548.29
ROGÉRIO MENDONÇA,M,84,5,3,46,2,3,27/01/1953,0,"33.763,00","282.557,76",19071.55,19591.03,40202.77,23209.03,30598.89,32032.33,30741.03,29926.43,37877.83,18450.40,856.47,0,109169.18,108681.15,110025.02,111462.30,110179.58,109656.30,110879.89,109964.15,110926.70,109768.29,0,0,1100712.56
VALDIR LUIZ ROSSONI,M,42,6,13,0,0,1,23/11/1952,0,"33.763,00","175.496,02",38434.25,41023.76,24376.55,39059.07,29171.19,2729.46,701.74,0,0,0,0,0,104548.41,95995.00,105599.40,106533.93,111453.14,111617.11,111593.80,111416.90,111416.90,111416.90,0,0,1081591.49
RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,M,79,12,1,17,9,8,17/08/1970,2,"33.763,00","298.537,83",20866.77,42973.86,56349.51,42187.85,35887.63,21876.48,14050.68,4363.86,559.91,59100.48,320.80,0,111550.47,111395.79,111180.85,111301.37,111550.47,111320.37,110214.42,111550.47,111550.47,111550.47,0,0,1113165.15
ROGÉRIO CORREIA DE MOURA BAPTISTA,M,88,0,4,56,0,12,11/01/1958,0,"33.763,00","299.970,55",24911.46,32959.38,35823.09,33558.57,39922.11,30506.71,29548.85,32578.63,29350.52,10811.23,0,0,111550.47,111550.47,111492.96,111586.89,111322.71,111550.47,111550.47,111550.47,111550.47,111550.47,0,0,1115255.85
RODRIGO BATISTA DE CASTRO,M,84,4,4,19,4,24,15/07/1971,0,"33.763,00","298.166,35",29116.39,39825.95,37384.92,42822.40,46598.49,40201.06,31887.58,7204.14,7391.07,14196.79,1537.56,0,110306.95,110306.95,110761.50,111635.37,111520.32,107830.91,100648.62,97447.42,96783.22,96743.20,0,0,1053984.46
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,M,6,4,0,0,0,0,12/06/1970,0,"33.763,00","5.702,88",5352.86,350.02,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85453.97,0,0,85453.97
RODRIGO COELHO,M,92,0,0,81,5,4,29/06/1980,1,"33.763,00","107.305,81",12678.98,16326.42,25770.44,13620.70,25418.03,7973.08,3227.19,8.21,1.82,2280.94,0,0,109154.71,111314.40,111501.02,111586.72,111586.72,110156.87,109978.97,109732.04,111665.67,111274.68,0,0,1107951.80
BENEDITO ROBERTO ALVES FERREIRA,M,71,5,2,33,2,26,27/05/1960,0,"33.763,00","231.815,88",4000.00,33796.04,30363.13,35983.32,37144.68,34164.65,28065.77,17655.52,10559.32,83.45,0,0,109132.76,107234.64,96888.00,105185.20,107935.24,107935.24,110811.59,111501.92,111501.92,111281.57,0,0,1079408.08
RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,M,87,5,0,89,5,5,12/12/1977,1,"33.763,00","243.424,52",37494.76,31595.53,46417.62,42559.37,55888.64,7585.90,10901.08,10003.24,1.97,976.41,0,0,110810.36,110810.36,110810.36,110810.36,110810.36,110810.36,102087.70,102087.70,102087.70,103464.83,0,0,1074590.09
RICARDO AUGUSTO MACHADO DA SILVA,M,89,0,3,51,0,13,01/09/1985,0,"33.763,00","298.314,29",46869.46,45084.75,38278.91,27339.96,44758.85,31421.18,25575.18,20837.80,14005.25,3151.94,991.01,0,110579.85,110579.85,111362.96,111416.97,111416.97,111416.97,111416.97,111416.97,111416.97,111416.97,0,0,1112441.45
